"Statistic Label","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2012","Co. Kerry","Both sexes","Euro","566.56"
"Mean Weekly Earnings","2012","Co. Kerry","Male","Euro","638.69"
"Mean Weekly Earnings","2012","Co. Kerry","Female","Euro","504.75"
"Mean Weekly Earnings","2012","Co. Longford","Both sexes","Euro","568.88"
"Mean Weekly Earnings","2012","Co. Longford","Male","Euro","616.95"
"Mean Weekly Earnings","2012","Co. Longford","Female","Euro","524.36"
"Mean Weekly Earnings","2012","Co. Louth","Both sexes","Euro","620.68"
"Mean Weekly Earnings","2012","Co. Louth","Male","Euro","699.12"
"Mean Weekly Earnings","2012","Co. Louth","Female","Euro","546.62"
"Mean Weekly Earnings","2012","Co. Limerick","Both sexes","Euro","645.38"
"Mean Weekly Earnings","2012","Co. Limerick","Male","Euro","741.57"
"Mean Weekly Earnings","2012","Co. Limerick","Female","Euro","553.16"
"Mean Weekly Earnings","2012","Co. Leitrim","Both sexes","Euro","579.2"
"Mean Weekly Earnings","2012","Co. Leitrim","Male","Euro","623.53"
"Mean Weekly Earnings","2012","Co. Leitrim","Female","Euro","542.91"
"Mean Weekly Earnings","2012","Co. Laois","Both sexes","Euro","626.38"
"Mean Weekly Earnings","2012","Co. Laois","Male","Euro","707.34"
"Mean Weekly Earnings","2012","Co. Laois","Female","Euro","553.09"
"Mean Weekly Earnings","2012","Co. Meath","Both sexes","Euro","688.11"
"Mean Weekly Earnings","2012","Co. Meath","Male","Euro","805.57"
"Mean Weekly Earnings","2012","Co. Meath","Female","Euro","578"
"Mean Weekly Earnings","2012","Co. Monaghan","Both sexes","Euro","544.68"
"Mean Weekly Earnings","2012","Co. Monaghan","Male","Euro","581.82"
"Mean Weekly Earnings","2012","Co. Monaghan","Female","Euro","511.42"
"Mean Weekly Earnings","2012","Co. Mayo","Both sexes","Euro","568.69"
"Mean Weekly Earnings","2012","Co. Mayo","Male","Euro","627.68"
"Mean Weekly Earnings","2012","Co. Mayo","Female","Euro","518.27"
"Mean Weekly Earnings","2012","Co. Offaly","Both sexes","Euro","597.52"
"Mean Weekly Earnings","2012","Co. Offaly","Male","Euro","666.14"
"Mean Weekly Earnings","2012","Co. Offaly","Female","Euro","531.25"
"Mean Weekly Earnings","2012","Co. Roscommon","Both sexes","Euro","595.14"
"Mean Weekly Earnings","2012","Co. Roscommon","Male","Euro","654.25"
"Mean Weekly Earnings","2012","Co. Roscommon","Female","Euro","544.53"
"Mean Weekly Earnings","2012","Co. Sligo","Both sexes","Euro","620.02"
"Mean Weekly Earnings","2012","Co. Sligo","Male","Euro","681.65"
"Mean Weekly Earnings","2012","Co. Sligo","Female","Euro","568.6"
"Mean Weekly Earnings","2012","Co. Tipperary","Both sexes","Euro","604.33"
"Mean Weekly Earnings","2012","Co. Tipperary","Male","Euro","686.37"
"Mean Weekly Earnings","2012","Co. Tipperary","Female","Euro","531.06"
"Mean Weekly Earnings","2012","Co. Waterford","Both sexes","Euro","614.26"
"Mean Weekly Earnings","2012","Co. Waterford","Male","Euro","710.98"
"Mean Weekly Earnings","2012","Co. Waterford","Female","Euro","526.25"
"Mean Weekly Earnings","2012","Co. Wicklow","Both sexes","Euro","688.72"
"Mean Weekly Earnings","2012","Co. Wicklow","Male","Euro","815.43"
"Mean Weekly Earnings","2012","Co. Wicklow","Female","Euro","573.66"
"Mean Weekly Earnings","2012","Co. Westmeath","Both sexes","Euro","620.18"
"Mean Weekly Earnings","2012","Co. Westmeath","Male","Euro","695.36"
"Mean Weekly Earnings","2012","Co. Westmeath","Female","Euro","550.83"
"Mean Weekly Earnings","2012","Co. Wexford","Both sexes","Euro","567.2"
"Mean Weekly Earnings","2012","Co. Wexford","Male","Euro","642.66"
"Mean Weekly Earnings","2012","Co. Wexford","Female","Euro","501.44"
"Mean Weekly Earnings","2012","Ireland","Both sexes","Euro","664.21"
"Mean Weekly Earnings","2012","Ireland","Male","Euro","760.77"
"Mean Weekly Earnings","2012","Ireland","Female","Euro","574.35"
"Mean Weekly Earnings","2013","Co. Clare","Both sexes","Euro","640.43"
"Mean Weekly Earnings","2013","Co. Clare","Male","Euro","741"
"Mean Weekly Earnings","2013","Co. Clare","Female","Euro","550.86"
"Mean Weekly Earnings","2013","Co. Cork","Both sexes","Euro","660.59"
"Mean Weekly Earnings","2013","Co. Cork","Male","Euro","766.63"
"Mean Weekly Earnings","2013","Co. Cork","Female","Euro","557.81"
"Mean Weekly Earnings","2013","Co. Cavan","Both sexes","Euro","578.47"
"Mean Weekly Earnings","2013","Co. Cavan","Male","Euro","642.04"
"Mean Weekly Earnings","2013","Co. Cavan","Female","Euro","520.27"
"Mean Weekly Earnings","2013","Co. Carlow","Both sexes","Euro","579.87"
"Mean Weekly Earnings","2013","Co. Carlow","Male","Euro","642.56"
"Mean Weekly Earnings","2013","Co. Carlow","Female","Euro","517.93"
"Mean Weekly Earnings","2013","Co. Donegal","Both sexes","Euro","513.61"
"Mean Weekly Earnings","2013","Co. Donegal","Male","Euro","551.08"
"Mean Weekly Earnings","2013","Co. Donegal","Female","Euro","480.21"
"Mean Weekly Earnings","2013","Co. Dublin","Both sexes","Euro","743.37"
"Mean Weekly Earnings","2013","Co. Dublin","Male","Euro","851.24"
"Mean Weekly Earnings","2013","Co. Dublin","Female","Euro","636.88"
"Mean Weekly Earnings","2013","Co. Galway","Both sexes","Euro","628.37"
"Mean Weekly Earnings","2013","Co. Galway","Male","Euro","696.95"
"Mean Weekly Earnings","2013","Co. Galway","Female","Euro","567.43"
"Mean Weekly Earnings","2013","Co. Kildare","Both sexes","Euro","704.2"
"Mean Weekly Earnings","2013","Co. Kildare","Male","Euro","816.39"
"Mean Weekly Earnings","2013","Co. Kildare","Female","Euro","590.7"
"Mean Weekly Earnings","2013","Co. Kilkenny","Both sexes","Euro","622.96"
"Mean Weekly Earnings","2013","Co. Kilkenny","Male","Euro","704.46"
"Mean Weekly Earnings","2013","Co. Kilkenny","Female","Euro","553.16"
"Mean Weekly Earnings","2013","Co. Kerry","Both sexes","Euro","564.07"
"Mean Weekly Earnings","2013","Co. Kerry","Male","Euro","632.61"
"Mean Weekly Earnings","2013","Co. Kerry","Female","Euro","504.49"
"Mean Weekly Earnings","2013","Co. Longford","Both sexes","Euro","576.04"
"Mean Weekly Earnings","2013","Co. Longford","Male","Euro","624.56"
"Mean Weekly Earnings","2013","Co. Longford","Female","Euro","530.42"
"Mean Weekly Earnings","2013","Co. Louth","Both sexes","Euro","608.14"
"Mean Weekly Earnings","2013","Co. Louth","Male","Euro","685.04"
"Mean Weekly Earnings","2013","Co. Louth","Female","Euro","533.13"
"Mean Weekly Earnings","2013","Co. Limerick","Both sexes","Euro","643.1"
"Mean Weekly Earnings","2013","Co. Limerick","Male","Euro","736.87"
"Mean Weekly Earnings","2013","Co. Limerick","Female","Euro","551.59"
"Mean Weekly Earnings","2013","Co. Leitrim","Both sexes","Euro","575.95"
"Mean Weekly Earnings","2013","Co. Leitrim","Male","Euro","616.91"
"Mean Weekly Earnings","2013","Co. Leitrim","Female","Euro","541.91"
"Mean Weekly Earnings","2013","Co. Laois","Both sexes","Euro","622.74"
"Mean Weekly Earnings","2013","Co. Laois","Male","Euro","698.36"
"Mean Weekly Earnings","2013","Co. Laois","Female","Euro","553.28"
"Mean Weekly Earnings","2013","Co. Meath","Both sexes","Euro","688.48"
"Mean Weekly Earnings","2013","Co. Meath","Male","Euro","802.05"
"Mean Weekly Earnings","2013","Co. Meath","Female","Euro","579.48"
"Mean Weekly Earnings","2013","Co. Monaghan","Both sexes","Euro","539.23"
"Mean Weekly Earnings","2013","Co. Monaghan","Male","Euro","575.8"
"Mean Weekly Earnings","2013","Co. Monaghan","Female","Euro","505.09"
"Mean Weekly Earnings","2013","Co. Mayo","Both sexes","Euro","570.02"
"Mean Weekly Earnings","2013","Co. Mayo","Male","Euro","628.47"
"Mean Weekly Earnings","2013","Co. Mayo","Female","Euro","518.5"
"Mean Weekly Earnings","2013","Co. Offaly","Both sexes","Euro","600.56"
"Mean Weekly Earnings","2013","Co. Offaly","Male","Euro","671.84"
"Mean Weekly Earnings","2013","Co. Offaly","Female","Euro","529.24"
"Mean Weekly Earnings","2013","Co. Roscommon","Both sexes","Euro","595.09"
"Mean Weekly Earnings","2013","Co. Roscommon","Male","Euro","653.22"
"Mean Weekly Earnings","2013","Co. Roscommon","Female","Euro","544.3"
"Mean Weekly Earnings","2013","Co. Sligo","Both sexes","Euro","607.99"
"Mean Weekly Earnings","2013","Co. Sligo","Male","Euro","664.79"
"Mean Weekly Earnings","2013","Co. Sligo","Female","Euro","559.38"
"Mean Weekly Earnings","2013","Co. Tipperary","Both sexes","Euro","602.78"
"Mean Weekly Earnings","2013","Co. Tipperary","Male","Euro","680.29"
"Mean Weekly Earnings","2013","Co. Tipperary","Female","Euro","531.38"
"Mean Weekly Earnings","2013","Co. Waterford","Both sexes","Euro","615.09"
"Mean Weekly Earnings","2013","Co. Waterford","Male","Euro","706.53"
"Mean Weekly Earnings","2013","Co. Waterford","Female","Euro","530.53"
"Mean Weekly Earnings","2013","Co. Wicklow","Both sexes","Euro","685.96"
"Mean Weekly Earnings","2013","Co. Wicklow","Male","Euro","811.68"
"Mean Weekly Earnings","2013","Co. Wicklow","Female","Euro","570"
"Mean Weekly Earnings","2013","Co. Westmeath","Both sexes","Euro","619.97"
"Mean Weekly Earnings","2013","Co. Westmeath","Male","Euro","690.59"
"Mean Weekly Earnings","2013","Co. Westmeath","Female","Euro","552.24"
"Mean Weekly Earnings","2013","Co. Wexford","Both sexes","Euro","562.31"
"Mean Weekly Earnings","2013","Co. Wexford","Male","Euro","628.86"
"Mean Weekly Earnings","2013","Co. Wexford","Female","Euro","502.17"
"Mean Weekly Earnings","2013","Ireland","Both sexes","Euro","662.65"
"Mean Weekly Earnings","2013","Ireland","Male","Euro","756.19"
"Mean Weekly Earnings","2013","Ireland","Female","Euro","573.76"
"Mean Weekly Earnings","2014","Co. Clare","Both sexes","Euro","640.64"
"Mean Weekly Earnings","2014","Co. Clare","Male","Euro","739.2"
"Mean Weekly Earnings","2014","Co. Clare","Female","Euro","552.14"
"Mean Weekly Earnings","2014","Co. Cork","Both sexes","Euro","661.49"
"Mean Weekly Earnings","2014","Co. Cork","Male","Euro","768.51"
"Mean Weekly Earnings","2014","Co. Cork","Female","Euro","556.6"
"Mean Weekly Earnings","2014","Co. Cavan","Both sexes","Euro","578.05"
"Mean Weekly Earnings","2014","Co. Cavan","Male","Euro","639.67"
"Mean Weekly Earnings","2014","Co. Cavan","Female","Euro","519.44"
"Mean Weekly Earnings","2014","Co. Carlow","Both sexes","Euro","577.89"
"Mean Weekly Earnings","2014","Co. Carlow","Male","Euro","640.87"
"Mean Weekly Earnings","2014","Co. Carlow","Female","Euro","513.47"
"Mean Weekly Earnings","2014","Co. Donegal","Both sexes","Euro","512.31"
"Mean Weekly Earnings","2014","Co. Donegal","Male","Euro","550.09"
"Mean Weekly Earnings","2014","Co. Donegal","Female","Euro","478.03"
"Mean Weekly Earnings","2014","Co. Dublin","Both sexes","Euro","744.69"
"Mean Weekly Earnings","2014","Co. Dublin","Male","Euro","850.19"
"Mean Weekly Earnings","2014","Co. Dublin","Female","Euro","638.27"
"Mean Weekly Earnings","2014","Co. Galway","Both sexes","Euro","636.79"
"Mean Weekly Earnings","2014","Co. Galway","Male","Euro","707.06"
"Mean Weekly Earnings","2014","Co. Galway","Female","Euro","573.21"
"Mean Weekly Earnings","2014","Co. Kildare","Both sexes","Euro","702.66"
"Mean Weekly Earnings","2014","Co. Kildare","Male","Euro","811.66"
"Mean Weekly Earnings","2014","Co. Kildare","Female","Euro","589.38"
"Mean Weekly Earnings","2014","Co. Kilkenny","Both sexes","Euro","618.32"
"Mean Weekly Earnings","2014","Co. Kilkenny","Male","Euro","696.33"
"Mean Weekly Earnings","2014","Co. Kilkenny","Female","Euro","550.06"
"Mean Weekly Earnings","2014","Co. Kerry","Both sexes","Euro","566.1"
"Mean Weekly Earnings","2014","Co. Kerry","Male","Euro","635.01"
"Mean Weekly Earnings","2014","Co. Kerry","Female","Euro","504.12"
"Mean Weekly Earnings","2014","Co. Longford","Both sexes","Euro","570.11"
"Mean Weekly Earnings","2014","Co. Longford","Male","Euro","617.87"
"Mean Weekly Earnings","2014","Co. Longford","Female","Euro","524.21"
"Mean Weekly Earnings","2014","Co. Louth","Both sexes","Euro","609.03"
"Mean Weekly Earnings","2014","Co. Louth","Male","Euro","684.97"
"Mean Weekly Earnings","2014","Co. Louth","Female","Euro","533.53"
"Mean Weekly Earnings","2014","Co. Limerick","Both sexes","Euro","643.35"
"Mean Weekly Earnings","2014","Co. Limerick","Male","Euro","733.42"
"Mean Weekly Earnings","2014","Co. Limerick","Female","Euro","553.39"
"Mean Weekly Earnings","2014","Co. Leitrim","Both sexes","Euro","572.75"
"Mean Weekly Earnings","2014","Co. Leitrim","Male","Euro","613.14"
"Mean Weekly Earnings","2014","Co. Leitrim","Female","Euro","537.99"
"Mean Weekly Earnings","2014","Co. Laois","Both sexes","Euro","622.42"
"Mean Weekly Earnings","2014","Co. Laois","Male","Euro","699.82"
"Mean Weekly Earnings","2014","Co. Laois","Female","Euro","548.84"
"Mean Weekly Earnings","2014","Co. Meath","Both sexes","Euro","684.69"
"Mean Weekly Earnings","2014","Co. Meath","Male","Euro","794.68"
"Mean Weekly Earnings","2014","Co. Meath","Female","Euro","576.04"
"Mean Weekly Earnings","2014","Co. Monaghan","Both sexes","Euro","536.8"
"Mean Weekly Earnings","2014","Co. Monaghan","Male","Euro","574.74"
"Mean Weekly Earnings","2014","Co. Monaghan","Female","Euro","500.41"
"Mean Weekly Earnings","2014","Co. Mayo","Both sexes","Euro","570.49"
"Mean Weekly Earnings","2014","Co. Mayo","Male","Euro","628.22"
"Mean Weekly Earnings","2014","Co. Mayo","Female","Euro","517.72"
"Mean Weekly Earnings","2014","Co. Offaly","Both sexes","Euro","594.39"
"Mean Weekly Earnings","2014","Co. Offaly","Male","Euro","659.92"
"Mean Weekly Earnings","2014","Co. Offaly","Female","Euro","527.25"
"Mean Weekly Earnings","2014","Co. Roscommon","Both sexes","Euro","595.28"
"Mean Weekly Earnings","2014","Co. Roscommon","Male","Euro","649.64"
"Mean Weekly Earnings","2014","Co. Roscommon","Female","Euro","546.49"
"Mean Weekly Earnings","2014","Co. Sligo","Both sexes","Euro","604.99"
"Mean Weekly Earnings","2014","Co. Sligo","Male","Euro","665.66"
"Mean Weekly Earnings","2014","Co. Sligo","Female","Euro","552.6"
"Mean Weekly Earnings","2014","Co. Tipperary","Both sexes","Euro","603.6"
"Mean Weekly Earnings","2014","Co. Tipperary","Male","Euro","679.97"
"Mean Weekly Earnings","2014","Co. Tipperary","Female","Euro","532.15"
"Mean Weekly Earnings","2014","Co. Waterford","Both sexes","Euro","609.37"
"Mean Weekly Earnings","2014","Co. Waterford","Male","Euro","699.31"
"Mean Weekly Earnings","2014","Co. Waterford","Female","Euro","524.01"
"Mean Weekly Earnings","2014","Co. Wicklow","Both sexes","Euro","684.51"
"Mean Weekly Earnings","2014","Co. Wicklow","Male","Euro","806.14"
"Mean Weekly Earnings","2014","Co. Wicklow","Female","Euro","569.48"
"Mean Weekly Earnings","2014","Co. Westmeath","Both sexes","Euro","618.16"
"Mean Weekly Earnings","2014","Co. Westmeath","Male","Euro","685.8"
"Mean Weekly Earnings","2014","Co. Westmeath","Female","Euro","551.23"
